DCCN0060000,CD  6 G/M
INGE050450F,GOMA 2 ECO 50X450 FRANCIA
INGE050450L,GOMA 2 ECO 50X450 FINLANDIA
INGE050450N,GOMA 2 ECO 50X450 (NORD)
INGE050450S,GOMA 2 ECO 50X450 SUECIA
INGE050550P,GELAMONITE 33 50x550 MM
INGE0503800,RIODIN 50X380 MM
INGE0504500,GOMA 2 ECO 50X450 MM.
INGE0505500,GOMA 2 ECO 50x550 MM
INGE0507000,RIODIN HE 50X700 MM (2000 grs)
INGE051370B,RIODIN HE 50X370 bullet nose (1000 GRS)
INGE055390S,GOMA 2 ECO 55X390 SUECIA
INGE055400N,GOMA 2 ECO 55X400 (NORD)
INGE0553900,GOMA 2 ECO 55X390 MM.
INGE0554000,GOMA 2 ECO 55X400 MM
INGE0555000,GOMA 2 ECO 55x500 MM
INGE0556800,RIODIN HE 55X680 MM (2300 grs)
INGE060420E,GOMA 2 ECO 60X420 EXPORTACION
INGE060420F,GOMA 2 ECO 60X420 FRANCIA
INGE060420N,GOMA 2 ECO 60X420 NORUEGA
INGE060500N,GOMA 2 ECO 60X500 NORD
INGE060550P,GELAMONITE 33 60x550 MM
INGE060620T,RIODIN 60x620MM (TR)
INGE0603800,GOMA 2 ECO 60x380 MM
INGE0604200,GOMA 2 ECO 60X420 MM.
INGE0606200,RIODIN 60x620 MM
INGE065530L,GOMA 2 ECO 65X530 FINLANDIA
INGE065530N,GOMA 2 ECO 65X530 (NORD)
INGE065530T,GOMA 2 ECO 65X530 MM (TR)
INGE0655300,RIODIN HE 65X530 MM (2500 GRS)
INGE0655600,Riodin  HE 65x560
INGE070380C,GOMA 2 ECO 70X380 CROACIA
INGE070380E,GOMA 2 ECO 70X380 EXPORTACION
INGE070380F,GOMA 2 ECO 70X380 FRANCIA
INGE070400N,GOMA 2 ECO 70X400 NORD
INGE0705000,RIODIN 70x500 MM
INGE0705450,RIODIN HE 70X545 MM (3000 GRS)
INGE0705600,Riodin  HE 70x560
INGE080440F,GOMA 2 ECO 80X440 FRANCIA
INGE080440N,GOMA 2 ECO 80X440 NORUEGA
INGE080550P,GELAMONITE 33 80x550 MM
INGE0804400,GOMA 2 ECO 80X440 MM.
INGE0804800,GOMA 2 ECO 80X480 MM
INGE0805600,RIODIN HE 80X560 MM (4000 GRS)
INGE0806000,RIODIN 80x600 MM
INGE085620F,GOMA 2 ECO 85X620 FRANCIA
INGE085680E,GOMA 2 ECO 85X680 EXPORTACION
INGE0856200,RIODIN 85x620 MM
INGE0905700,RIODIN 90x570 MM
INGE100380F,GOMA 2 ECO 100X380 FRANCIA
INGE1004500,RIODIN 100x450 MM
INGH0322150,RIOSEIS PLUS 32x215 (250 gr)
INGH0501900,RIOSEIS PLUS 50X190 MM (500 GRS)
INGH0503700,RIOSEIS PLUS 50X370 MM (1000 GRS)
INGL0656800,EURODYN 2000/65 680mm
INGR026200T,RIODIN HE 26X200 MM (TR) (152 GRS)
INGR026325N,RIODIN HE 26X325 MM (250 GRS) NÓRDICO
INGR0262000,RIODIN HE 26X200 MM (152 GRS)
INGR0263250,RIODIN HE 26X325 MM (250 GRS)
INGR028340N,RIODIN HE 28x340 mm (Paraffin wax Paper 296g)  (Box 24kg)
INGR0282250,RIODIN HE 28X225 MM (200 GRS)
INGR0283400,RIODIN HE 28X340 MM (300 GRS)
INGR032350N,RIODIN HE 32X350 MM (400 GRS) NÓRDICO
INGR0322000,RIODIN HE 32X200 MM (238 GRS)
INGR0323500,RIODIN HE 32X350 MM (400 GRS)
INGR036350N,RIODIN HE 36X350 MM (500 GRS) NÓRDICO
INGR0363500,RIODIN HE 36X350 MM (500 GRS)
INGR040530N,RIODIN HE 40X530 MM (1000 GRS) NÓRDICO
INGR0402400,RIODIN HE 40X240 MM (417 GRS)
INGR0404000,RIODIN HE 40X400 MM (714 GRS)
INGR0405300,RIODIN HE 40X530 MM (1000 GRS)
INGR0405600,RIODIN HE 40X560 MM (1000 GRS)
INGR050380T,RIODIN HE 50X380 MM (TR) (1.042 GRS)
INGR050570N,RIODIN HE 50X570 MM (1600 GRS) NÓRDICO
INGR0503800,RIODIN HE 50X380 MM (1042 GRS)
INGR0505700,RIODIN HE 50X570 MM (1600 GRS)
INGR055590N,RIODIN HE 55X590 MM (2000 GRS) NÓRDICO
INGR0555900,RIODIN HE 55X590 MM (2000 GRS)
INGR060570N,RIODIN HE 60X570 MM (2300 GRS) NÓRDICO
INGR060570T,RIODIN HE 60X570 MM (TR) (2300 GRS)(10u/c)(BOX 23KG)(P1,2X800_644KG). Plastic Film
INGR0605700,RIODIN HE 60X570 MM (2300 GRS)
INGR0605900,RIODIN HE 60X590 MM (2400 GRS)
INGR065530N,RIODIN HE 65x530 MM NÓRDICO
INGR0655300,RIODIN HE 65X530 MM (2500 GRS)
INGR0705450,RIODIN HE 70X545 MM (3000 GRS)
INGR0805600,RIODIN HE 80X560 MM (4000 GRS)
INGR0905500,RIODIN HE 90X550 MM (5000 GRS)
INGR1206200,RIODIN HE 120X620 MM (10000 GRS)
INGS050370A,RIOSEIS HE 50X370 MM (1000 GRS)
INGS0501900,RIOSEIS PLUS 50X190 MM (500 GRS)
INGS0503701,RIOSEIS PLUS 50X370 MM (1000 GRS)
INGS0504100,RIOSEIS II 1 KG
INGS051353B,RIOSEIS HE  2(51)x14(353) Inchs(mm) 1 kg
INGS057550A,RIOSEIS HE 57X550 MM (2000 GRS)
INP10262000,LIGAMITA 1 / RIOMON NH DE 26 X 200
INP10322000,LIGAMITA 1 DE 32X200
INP20262000,AMONITA 2I DE 26X200
INP20322000,AMONITA 2I DE 32X200
INRM0606200,RIODIN PLUS MD 60x620 MM
INRM0705000,RIODIN PLUS MD 70x500 MM
INRM0806000,RIODIN PLUS MD 80x600 MM
INRM0856200,RIODIN PLUS MD 85x620 MM
INRM0905700,RIODIN PLUS MD 90x570 MM
INRP0262000,RIODIN XE 26x200 MM (PAPEL PARAFINADO 156G) (BOX 25KG)
INRP0263250,RIODIN XE 26X325 MM (258 GRS)
INRP0282250,RIODIN XE 28X225 MM (208 GRS)
INRP0283400,RIODIN XE 28X340 MM (316 GRS)
INRP0322000,RIODIN XE 32X200 MM (250 GRS)
INRP0323500,RIODIN XE 32X350 MM (423 GRS)
INRP0363500,RIODIN XE 36X350 MM (532 GRS)
INRP0402400,RIODIN XE 40X240 MM (454 GRS)
INRP0404000,RIODIN XE 40X400 MM (758 GRS)
