32407,8.30LPF	DET DAVII 7M80 JH LP30 MX 1B
32407,8.35LPF	DET DAVII 7M80 JH LP35 MX 1B
32407,8.40LPF	DET DAVII 7M80 JH LP40 MX 1B
32407,8.45LPF	DET DAVII 7M80 JH LP45 MX 1B
32407,8.50LPF	DET DAVII 7M80 JH LP50 MX 1B
32407,8.55LPF	DET DAVII 7M80 JH LP55 MX 1B
32407,8.60LPF	DET DAVII 7M80 JH LP60 MX 1B
32407,8.65LPF	DET DAVII 7M80 JH LP65 MX 1B
32407,8.70LPF	DET DAVII 7M80 JH LP70 MX 1B
32407,8.75LPF	DET DAVII 7M80 JH LP75 MX 1B
32407,803F	DET DAVII 7M80 JH SP03 MX 1B
32407,804F	DET DAVII 7M80 JH SP04 MX 1B
32407,805F	DET DAVII 7M80 JH SP05 MX 1B
32407,806F	DET DAVII 7M80 JH SP06 MX 1B
32407,807F	DET DAVII 7M80 JH SP07 MX 1B
32407,808F	DET DAVII 7M80 JH SP08 MX 1B
32407,809F	DET DAVII 7M80 JH SP09 MX 1B
32407,810F	DET DAVII 7M80 JH SP10 MX 1B
32407,811F	DET DAVII 7M80 JH SP11 MX 1B
32407,812F	DET DAVII 7M80 JH SP12 MX 1B
32407,813F	DET DAVII 7M80 JH SP13 MX 1B
32407,814F	DET DAVII 7M80 JH SP14 MX 1B
32407,815F	DET DAVII 7M80 JH SP15 MX 1B
32407,816F	DET DAVII 7M80 JH SP16 MX 1B
32407,817F	DET DAVII 7M80 JH SP17 MX 1B
32407,818F	DET DAVII 7M80 JH SP18 MX 1B
32407,819F	DET DAVII 7M80 JH SP19 MX 1B
32407,820F	DET DAVII 7M80 JH SP 20 MX 1B
32409020U	Det no elec 9 M Nº 20 Primadet/Rionel MS
32410,201SPF	Det. No Elec. 10,2 mt. Nº 01 Daveynel SP con J-Hook
32410,203SPF	Det. No Elec. 10,2 mt. Nº 03 Daveynel SP con J-Hook
32410,204SPF	Det. No Elec. 10,2 mt. Nº 04 Daveynel SP con J-Hook
32410,205SPF	Det. No Elec. 10,2 mt. Nº 05 Daveynel SP con J-Hook
32410,206SPF	Det. No Elec. 10,2 mt. Nº 06 Daveynel SP con J-Hook
32410,207SPF	Det. No Elec. 10,2 mt. Nº 07 Daveynel SP con J-Hook
32410,208SPF	Det. No Elec. 10,2 mt. Nº 08 Daveynel SP con J-Hook
